namespace,nombre,patrón,vista,archivo:línea,categoría,plantilla,kwargs,selenium,pruebas
async_notification,api-newslettertemplate-get-values-for-update,/async_notification/objapi/^newsletter_template/(?P<pk>[^/.]+)/get_values_for_update\.(?P<format>[a-z0-9]+)/?$,djgentelella.async_notification.views.NewsLetterTemplateManagement,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:491,infra,,pk|format,0,0
async_notification,api-newslettertemplate-preview,/async_notification/objapi/^newsletter_template/(?P<pk>[^/.]+)/preview/$,djgentelella.async_notification.views.NewsLetterTemplateManagement,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:491,infra,,pk,0,0
async_notification,api-newslettertemplate-preview,/async_notification/objapi/^newsletter_template/(?P<pk>[^/.]+)/preview\.(?P<format>[a-z0-9]+)/?$,djgentelella.async_notification.views.NewsLetterTemplateManagement,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:491,infra,,pk|format,0,0
async_notification,api-newsletter-list,/async_notification/objapi/^newsletter/$,djgentelella.async_notification.views.NewsLetterManagement,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:491,infra,,,0,0
async_notification,api-newsletter-list,/async_notification/objapi/^newsletter\.(?P<format>[a-z0-9]+)/?$,djgentelella.async_notification.views.NewsLetterManagement,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:491,infra,,format,0,0
async_notification,api-newsletter-detail-template,/async_notification/objapi/^newsletter/detail_template/$,djgentelella.async_notification.views.NewsLetterManagement,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:491,infra,,,0,0
async_notification,api-newsletter-detail-template,/async_notification/objapi/^newsletter/detail_template\.(?P<format>[a-z0-9]+)/?$,djgentelella.async_notification.views.NewsLetterManagement,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:491,infra,,format,0,0
async_notification,api-newsletter-detail,/async_notification/objapi/^newsletter/(?P<pk>[^/.]+)/$,djgentelella.async_notification.views.NewsLetterManagement,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:491,infra,,pk,0,0
async_notification,api-newsletter-detail,/async_notification/objapi/^newsletter/(?P<pk>[^/.]+)\.(?P<format>[a-z0-9]+)/?$,djgentelella.async_notification.views.NewsLetterManagement,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:491,infra,,pk|format,0,0
async_notification,api-newsletter-get-values-for-update,/async_notification/objapi/^newsletter/(?P<pk>[^/.]+)/get_values_for_update/$,djgentelella.async_notification.views.NewsLetterManagement,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:491,infra,,pk,0,0
async_notification,api-newsletter-get-values-for-update,/async_notification/objapi/^newsletter/(?P<pk>[^/.]+)/get_values_for_update\.(?P<format>[a-z0-9]+)/?$,djgentelella.async_notification.views.NewsLetterManagement,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:491,infra,,pk|format,0,0
async_notification,api-newsletter-preview,/async_notification/objapi/^newsletter/(?P<pk>[^/.]+)/preview/$,djgentelella.async_notification.views.NewsLetterManagement,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:491,infra,,pk,0,0
async_notification,api-newsletter-preview,/async_notification/objapi/^newsletter/(?P<pk>[^/.]+)/preview\.(?P<format>[a-z0-9]+)/?$,djgentelella.async_notification.views.NewsLetterManagement,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:491,infra,,pk|format,0,0
async_notification,api-newsletter-preview-recipients,/async_notification/objapi/^newsletter/(?P<pk>[^/.]+)/preview_recipients/$,djgentelella.async_notification.views.NewsLetterManagement,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:491,infra,,pk,0,0
async_notification,api-newsletter-preview-recipients,/async_notification/objapi/^newsletter/(?P<pk>[^/.]+)/preview_recipients\.(?P<format>[a-z0-9]+)/?$,djgentelella.async_notification.views.NewsLetterManagement,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:491,infra,,pk|format,0,0
async_notification,api-newslettertask-list,/async_notification/objapi/^newsletter_task/$,djgentelella.async_notification.views.NewsLetterTaskManagement,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:491,infra,,,0,0
async_notification,api-newslettertask-list,/async_notification/objapi/^newsletter_task\.(?P<format>[a-z0-9]+)/?$,djgentelella.async_notification.views.NewsLetterTaskManagement,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:491,infra,,format,0,0
async_notification,api-newslettertask-detail-template,/async_notification/objapi/^newsletter_task/detail_template/$,djgentelella.async_notification.views.NewsLetterTaskManagement,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:491,infra,,,0,0
async_notification,api-newslettertask-detail-template,/async_notification/objapi/^newsletter_task/detail_template\.(?P<format>[a-z0-9]+)/?$,djgentelella.async_notification.views.NewsLetterTaskManagement,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:491,infra,,format,0,0
async_notification,api-newslettertask-detail,/async_notification/objapi/^newsletter_task/(?P<pk>[^/.]+)/$,djgentelella.async_notification.views.NewsLetterTaskManagement,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:491,infra,,pk,0,0
async_notification,api-newslettertask-detail,/async_notification/objapi/^newsletter_task/(?P<pk>[^/.]+)\.(?P<format>[a-z0-9]+)/?$,djgentelella.async_notification.views.NewsLetterTaskManagement,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:491,infra,,pk|format,0,0
async_notification,api-newslettertask-get-values-for-update,/async_notification/objapi/^newsletter_task/(?P<pk>[^/.]+)/get_values_for_update/$,djgentelella.async_notification.views.NewsLetterTaskManagement,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:491,infra,,pk,0,0
async_notification,api-newslettertask-get-values-for-update,/async_notification/objapi/^newsletter_task/(?P<pk>[^/.]+)/get_values_for_update\.(?P<format>[a-z0-9]+)/?$,djgentelella.async_notification.views.NewsLetterTaskManagement,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:491,infra,,pk|format,0,0
async_notification,api-newslettertask-send-now,/async_notification/objapi/^newsletter_task/(?P<pk>[^/.]+)/send_now/$,djgentelella.async_notification.views.NewsLetterTaskManagement,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:491,infra,,pk,0,0
async_notification,api-newslettertask-send-now,/async_notification/objapi/^newsletter_task/(?P<pk>[^/.]+)/send_now\.(?P<format>[a-z0-9]+)/?$,djgentelella.async_notification.views.NewsLetterTaskManagement,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:491,infra,,pk|format,0,0
